,Order ID,AWB Number,Total weight as per X (KG),Weight slab charged by Courier Company (KG),Delivery Zone as per X,Delivery Zone charged by Courier Company,Type of Shipment,Weight slab as per X (KG),Expected Charge as per X (Rs.),Charges Billed by Courier Company (Rs.),Difference Between Expected Charges and Billed Charges (Rs.)
138,2001807084,1091117323215,1.27,0.67,d,d,Forward charges,1.25,56.6,110.2,53.6
139,2001807084,1091117323215,2.4,0.67,d,d,Forward charges,1.25,89.6,110.2,20.60000000000001
140,2001807084,1091117323215,1.33,0.67,d,d,Forward charges,1.25,89.6,110.2,20.60000000000001
141,2001807004,1091117229290,1.27,0.68,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
142,2001807004,1091117229290,2.4,0.68,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
143,2001807004,1091117229290,1.33,0.68,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
144,2001806968,1091117229183,1.27,0.68,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
145,2001806968,1091117229183,2.4,0.68,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
146,2001806968,1091117229183,1.33,0.68,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
147,2001806828,1091117228192,1.27,0.69,d,d,Forward charges,1.25,89.6,100.2,10.600000000000009
148,2001806828,1091117228192,2.4,0.69,d,d,Forward charges,1.25,56.6,100.2,43.6
149,2001806828,1091117228192,1.33,0.69,d,d,Forward charges,1.25,56.6,100.2,43.6
150,2001806823,1091117228133,1.27,0.59,d,d,Forward charges,1.25,56.6,97.2,40.6
151,2001806776,1091117227573,1.27,2.86,b,b,Forward charges,0.5,56.6,174.5,117.9
152,2001806776,1091117227573,1.37,2.86,b,b,Forward charges,0.5,89.6,174.5,84.9
153,2001806776,1091117227573,2.1,2.86,b,b,Forward charges,0.5,89.6,174.5,84.9
154,2001806735,1091117226711,1.27,0.69,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
155,2001806735,1091117226711,2.4,0.69,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
156,2001806735,1091117226711,1.33,0.69,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
157,2001806726,1091117226910,1.27,0.68,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
158,2001806726,1091117226910,2.4,0.68,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
159,2001806726,1091117226910,1.33,0.68,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
160,2001806652,1091117226221,1.27,0.69,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
161,2001806652,1091117226221,2.4,0.69,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
162,2001806652,1091117226221,1.33,0.69,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
163,2001806575,1091117225016,1.27,0.68,b,b,Forward charges,0.5,89.6,71.3,-18.299999999999997
164,2001806575,1091117225016,2.4,0.68,b,b,Forward charges,0.5,89.6,71.3,-18.299999999999997
165,2001806575,1091117225016,1.33,0.68,b,b,Forward charges,0.5,89.6,71.3,-18.299999999999997
166,2001806547,1091117224611,1.27,1.0,b,b,Forward charges,0.5,89.6,61.3,-28.299999999999997
167,2001806533,1091117224353,1.27,0.68,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
168,2001806533,1091117224353,2.4,0.68,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
169,2001806533,1091117224353,1.33,0.68,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
170,2001806471,1091117223351,1.27,1.7,d,d,Forward charges,1.25,89.6,179.8,90.20000000000002
172,2001806471,1091117223351,2.4,1.7,d,d,Forward charges,1.25,89.6,179.8,90.20000000000002
174,2001806471,1091117223351,1.33,1.7,d,d,Forward charges,1.25,89.6,179.8,90.20000000000002
176,2001806471,1091117223351,1.21,1.7,d,d,Forward charges,1.25,89.6,179.8,90.20000000000002
177,2001806446,1091117223211,1.27,0.69,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
178,2001806446,1091117223211,2.4,0.69,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
179,2001806446,1091117223211,1.33,0.69,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
180,2001806338,1091117222570,1.27,0.7,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
181,2001806338,1091117222570,2.4,0.7,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
182,2001806338,1091117222570,1.33,0.7,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
183,2001806304,1091117222360,1.27,0.71,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
184,2001806304,1091117222360,2.4,0.71,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
185,2001806304,1091117222360,1.33,0.71,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
186,2001806273,1091117222194,1.27,1.0,d,d,Forward charges,1.25,89.6,101.2,11.600000000000009
187,2001806273,1091117222194,2.4,1.0,d,d,Forward charges,1.25,89.6,101.2,11.600000000000009
188,2001806273,1091117222194,1.33,1.0,d,d,Forward charges,1.25,89.6,101.2,11.600000000000009
189,2001806273,1091117222194,1.15,1.0,d,d,Forward charges,1.25,89.6,101.2,11.600000000000009
190,2001806229,1091117222080,1.27,0.71,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
191,2001806229,1091117222080,2.4,0.71,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
192,2001806229,1091117222080,1.33,0.71,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
193,2001821750,1091121034350,1.65,0.8,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
194,2001821750,1091121034350,3.5,0.8,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
195,2001821750,1091121034350,2.4,0.8,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
196,2001821679,1091121031745,1.65,0.2,d,d,Forward charges,1.25,89.6,52.4,-37.199999999999996
197,2001807970,1091117327474,1.65,4.13,d,d,Forward charges,1.25,89.6,403.8,314.20000000000005
198,2001807970,1091117327474,6.0,4.13,d,d,Forward charges,1.25,89.6,403.8,314.20000000000005
199,2001806733,1091117226674,1.65,1.13,d,d,Forward charges,1.25,89.6,135.0,45.400000000000006
200,2001806733,1091117226674,1.12,1.13,d,d,Forward charges,1.25,89.6,135.0,45.400000000000006
201,2001806733,1091117226674,2.4,1.13,d,d,Forward charges,1.25,89.6,135.0,45.400000000000006
203,2001806733,1091117226674,2.1,1.13,d,d,Forward charges,1.25,89.6,135.0,45.400000000000006
204,2001816131,1091119367193,3.5,0.7,d,d,Forward charges,1.25,56.6,90.2,33.6
205,2001816131,1091119367193,1.02,0.7,d,d,Forward charges,1.25,56.6,90.2,33.6
206,2001812854,1091118548333,3.5,2.94,d,d,Forward charges,1.25,56.6,280.4,223.79999999999998
207,2001812854,1091118548333,1.12,2.94,d,d,Forward charges,1.25,56.6,280.4,223.79999999999998
210,2001812854,1091118548333,3.5,2.94,d,d,Forward charges,1.25,89.6,280.4,190.79999999999998
213,2001812854,1091118548333,5.0,2.94,d,d,Forward charges,1.25,89.6,280.4,190.79999999999998
214,2001807613,1091117333251,3.5,1.04,d,d,Forward charges,1.25,89.6,135.0,45.400000000000006
215,2001807613,1091117333251,2.4,1.04,d,d,Forward charges,1.25,89.6,135.0,45.400000000000006
217,2001825261,1091121981575,1.37,1.6,d,d,Forward and RTO charges,1.25,89.6,345.0,255.4
218,2001825261,1091121981575,0.1,1.6,d,d,Forward and RTO charges,1.25,56.6,345.0,288.4
219,2001825261,1091121981575,1.12,1.6,d,d,Forward and RTO charges,1.25,56.6,345.0,288.4
221,2001825261,1091121981575,2.4,1.6,d,d,Forward and RTO charges,1.25,89.6,345.0,255.4
222,2001810549,1091117806263,1.37,1.86,d,d,Forward charges,1.25,89.6,191.8,102.20000000000002
223,2001810549,1091117806263,2.4,1.86,d,d,Forward charges,1.25,89.6,191.8,102.20000000000002
224,2001810549,1091117806263,2.4,1.86,d,d,Forward charges,1.25,56.6,191.8,135.20000000000002
225,2001810549,1091117806263,2.32,1.86,d,d,Forward charges,1.25,56.6,191.8,135.20000000000002
226,2001823564,1091121666133,1.12,0.7,d,d,Forward and RTO charges,1.25,56.6,172.8,116.20000000000002
229,2001821502,1091121185863,1.12,0.6,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
231,2001821502,1091121185863,1.1,0.6,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
